id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rodriguez;Lily.Kihn75@yahoo.com;repurpose modular;2020-12-24T09:23:54;12617;25834
2;Miguel;Kling;Lynn.Buckridge@gmail.com;Wooden withdrawal;2020-12-24T04:24:14;9385;75289
3;Corrine;Wuckert;Arlo58@hotmail.com;Wooden;2020-12-24T06:33:16;90233;71649
4;Meredith;O'Hara;Deonte34@yahoo.com;Berkshire reinvent;2020-12-23T23:17:41;37356;15436
5;Antonina;Turner;Reuben92@yahoo.com;Albania;2020-12-24T14:40:47;54263;80529
6;Unique;MacGyver;Jensen13@gmail.com;Music pink;2020-12-24T02:02:53;95916;18581
7;Myrtice;O'Hara;Imogene95@yahoo.com;calculate Concrete Soap;2020-12-24T04:59:25;95498;15970
8;Monty;Jerde;Chandler_Wehner@gmail.com;payment Expressway;2020-12-23T19:02:04;43151;12407
9;Edwin;Abshire;June_Nicolas@gmail.com;Automated Small Concrete Chicken;2020-12-23T21:51:40;69929;43322
10;Casey;Schinner;Yasmine24@yahoo.com;e-business;2020-12-23T22:34:05;601;74069
